,input_texts,target_texts
72,Am I fat?,Είμαι χοντρός;
73,Find Tom.,Βρες τον Τομ.
74,Find Tom.,Βρείτε τον Τομ.
75,Grab him.,Άρπαξ' τον.
76,Grab him.,Άρπαξέ τον.
77,Grab him.,Αρπάξτε τον.
78,Have fun.,Καλή διασκέδαση.
79,He tries.,Προσπαθεί.
80,Help Tom.,Βοήθησε τον Τομ.
81,Help Tom.,Βοηθήστε τον Τομ.
82,"Hi, guys.","Γεια σας, παιδιά."
83,How cute!,Τι γλυκό;
84,How deep?,Πόσο βαθιά;
85,Hurry up.,Βιάσου!
86,I agreed.,Συμφώνησα.
87,I failed.,Απέτυχα.
88,I forgot.,Ξέχασα.
89,I refuse.,Αρνούμαι.
90,I resign.,Παραιτούμαι.
91,I smiled.,Χαμογέλασα.
92,I stayed.,Έμεινα.
93,I use it.,Το χρησιμοποιώ.
94,I waited.,Περίμενα.
95,I'll pay.,Την κερνάω εγώ.
96,I'm busy.,Είμαι απασχολημένος.
97,I'm busy.,Έχω δουλειά.
98,I'm cold.,Κρυώνω.
99,I'm fine.,Είμαι εντάξει.
100,I'm free.,Είμαι ελεύθερος.
101,I'm lost.,Χάθηκα.
102,I'm poor.,Είμαι φτωχός.
103,I'm rich.,Είμαι πλούσιος.
104,I'm rich.,Είμαι πλούσια.
105,I'm sick.,Είμαι άρρωστος.
106,I'm sick.,Είμαι άρρωστη.
107,I'm sure.,Είμαι σίγουρος.
108,I'm weak.,Είμαι αδύναμος.
109,I'm weak.,Είμαι αδύναμη.
110,I'm well.,Είμαι καλά.
111,It helps.,Βοηθάει.
112,It works.,Δουλεύει.
113,It's new.,Είναι καινούργιο.
114,It's red.,Είναι κόκκινος.
115,It's red.,Είναι κόκκινο.
116,It's red.,Είναι κόκκινη.
117,Keep out.,Απαγορεύεται η είσοδος!
118,Kiss Tom.,Φίλησε τον Τομ.
119,Kiss Tom.,Φίλα τον Τομ.
120,Kiss Tom.,Φιλήστε τον Τομ.
121,Let's go!,Πάμε.
122,Let's go!,Άντε πάμε.
123,Let's go!,Έλα πάμε!
124,Let's go!,Πάμε!
125,Look out!,Πρόσεξε!
126,Look out!,Πρόσεχε!
127,Save Tom.,Σώσε τον Τομ.
128,Save Tom.,Σώστε τον Τομ.
129,She died.,Αυτή πέθανε.
130,She lied.,Είπε ψέματα.
131,Sit down!,Καθίστε κάτω!
132,Sit down!,Κάτσε κάτω!
133,Sit down!,Κάθισε κάτω!
134,Sit down.,Καθίστε κάτω.
135,Sit down.,Κάτσε κάτω.
136,Sit down.,Κάθισε κάτω.
137,Stand up!,Σήκω!
138,Stand up!,Σήκω πάνω!
139,Stop Tom.,Σταμάτα τον Τομ.
140,Stop Tom.,Σταματήστε τον Τομ.
141,Terrific!,Τέλεια!
142,Terrific!,Φανταστικά!
143,They won.,Νίκησαν.
144,They won.,Κέρδισαν.
145,Tom came.,Ήρθε ο Τομ.
146,Tom died.,Ο Τομ πέθανε.
147,Tom knew.,Ο Τομ γνώριζε.
148,Tom left.,Ο Τομ έφυγε.
149,Tom lied.,O Τομ είπε ψέματα.
150,Tom lies.,Ο Τομ λέει ψέματα.
151,Tom lost.,Ο Τομ έχασε.
152,Tom paid.,Ο Τομ πλήρωσε.
153,Tom swam.,Ο Τομ κολύμπησε.
154,Tom wept.,Ο Τομ έκλαψε.
155,Too late.,Πολύ αργά.
156,Trust me.,Εμπιστέψου με.
157,Trust me.,Εμπιστευτείτε με.
158,Warn Tom.,Προειδοποίησε τον Τομ.
159,Warn Tom.,Προειδοποιήστε τον Τομ.
160,We agree.,Συμφωνούμε.
161,We tried.,Προσπαθήσαμε.
162,We'll go.,Θα πάμε.
163,Who came?,Ποιος ήρθε;
164,Who died?,Ποιος πέθανε;
165,Answer me.,Απάντησέ μου.
166,Birds fly.,Τα πουλιά πετούν.
167,Calm down.,Χαλάρωσε.
168,Can I eat?,Μπορώ να φάω;
169,Catch Tom.,Πιάσε τον Τομ.
170,Catch Tom.,Πιάστε τον Τομ.
171,Catch him.,Πιάσ' τον.
172,Catch him.,Πιάστε τον.
173,Come back.,Γύρνα πίσω.
174,Come here.,Έλα δω.
175,Come here.,Έλα εδώ.
176,Dogs bark.,Τα σκυλιά γαβγίζουν.
177,Don't cry.,Μην κλαις.
178,Excuse me.,Συγνώμη.
179,Follow me.,Ακολούθησε με.
180,Follow me.,Ακολουθήστε με.
181,Forget it!,Ξέχνα το!
182,Get ready.,Ετοιμάσου.
183,Good luck.,Καλή τύχη.
184,He is ill.,Είναι άρρωστος.
185,He smiled.,Χαμογέλασε.
186,He's lazy.,Είναι τεμπέλης.
187,He's rich.,Είναι πλούσιος.
188,I am cold.,Κρυώνω.
189,I am sick.,Είμαι άρρωστος.
190,I am sick.,Είμαι άρρωστη.
191,I am tall.,Είμαι ψηλός.
192,I am tall.,Είμαι ψηλή.
193,I fainted.,Λιποθύμησα.
194,I give in.,Παραδίδομαι.
195,I knew it.,Το 'ξερα.
196,I knew it.,Το ήξερα.
197,I laughed.,Γέλασα.
198,I like it.,Μου αρέσει.
199,I like it.,Μ' αρέσει.
200,I lost it.,Το έχασα.
201,I lost it.,Την έχασα.
202,I lost it.,Τον έχασα.
203,I lost it.,Το 'χασα.
204,I mean it!,Το εννοώ!
205,I mean it.,Το εννοώ.
206,I promise.,Υπόσχομαι.
207,I saw Tom.,Είδα τον Τομ.
208,I saw him.,Τον είδα.
209,I want it.,Το θέλω.
210,I'll live.,Θα ζήσω.
211,I'll sing.,Θα τραγουδήσω.
212,I'll stop.,Θα σταματήσω.
213,I'll swim.,Θα κολυμπήσω.
214,I'll talk.,Θα μιλήσω.
215,I'm a man.,Άντρας είμαι.
216,I'm angry.,Είμαι θυμωμένος.
217,I'm angry.,Είμαι θυμωμένη.
218,I'm blind.,Είμαι τυφλός.
219,I'm blind.,Είμαι τυφλή.
220,I'm bored.,Βαριέμαι.
221,I'm broke.,Είμαι απένταρος.
222,I'm broke.,Δεν έχω φράγκα.
223,I'm drunk.,Είμαι μεθυσμένος.
224,I'm drunk.,Είμαι μεθυσμένη.
225,I'm drunk.,Είμαι πιωμένος.
226,I'm drunk.,Είμαι πιωμένη.
227,I'm dying.,Πεθαίνω.
228,I'm happy.,Είμαι ευτυχισμένος.
229,I'm ready.,Είμαι έτοιμος.
230,I'm ready.,Είμαι έτοιμη.
231,I'm right.,Έχω δίκιο.
232,I'm smart.,Είμαι έξυπνος.
233,I'm smart.,Είμαι έξυπνη.
234,I'm sorry.,Συγνώμη.
235,I'm young.,Είμαι νέος.
236,It burned.,Κάηκε.
237,It failed.,Απέτυχε.
238,It worked.,Δούλεψε.
239,It's 3:30.,Είναι τρεισήμισι η ώρα.
240,It's 3:30.,Είναι τρεισήμισι.
241,It's 8:30.,Είναι 8:30.
242,It's easy.,Είναι εύκολο.
243,It's true!,Είν' αλήθεια!
244,It's true!,Είναι αλήθεια!
245,It's work.,Δουλειά είναι.
246,Let me go!,Άσε με να φύγω!
247,Let us go.,Άσε μας να πάμε.
248,Of course!,Βέβαια!
249,Of course.,Βέβαια.
250,Open fire!,Άνοιξε πυρ!
251,Open fire!,Ανοίξτε πυρ!
252,Read this.,Διάβασε αυτό.
253,Read this.,Διαβάστε αυτό.
254,She tried.,Προσπάθησε.
255,She walks.,Βαδίζει.
256,She walks.,Περπατάει.
257,Sign here.,Υπόγραψε εδώ.
258,Sign here.,Υπογράψτε εδώ.
259,Sign this.,Υπόγραψε αυτό.
260,Sign this.,Υπογράψτε αυτό.
261,Sit there.,Κάτσε εκεί.
262,Sit there.,Κάθισε εκεί.
263,Sit there.,Καθίστε εκεί.
264,Stay here.,Μείνε εδώ.
265,Stay here.,Μείνετε εδώ.
266,They fell.,Έπεσαν.
267,They left.,Έφυγαν.
268,They lied.,Είπαν ψέματα.
269,Tom cared.,Ο Τομ νοιάστηκε.
270,Tom cares.,Ο Τομ νοιάζεται.
271,Tom cried.,Ο Τομ έκλαψε.
272,Tom drove.,Ο Τομ οδήγησε.
273,Tom knits.,Ο Τομ πλέκει.
274,Tom knows.,Ο Τομ ξέρει.
275,Tom moved.,Ο Τομ μετακόμισε.
276,Tom moved.,Ο Τομ κουνήθηκε.
277,Tom spoke.,Ο Τομ μίλησε.
278,Tom swims.,Ο Τομ κολυμπάει.
279,Tom tried.,Ο Τομ προσπάθησε.
280,Tom tries.,Ο Τομ προσπαθεί.
281,Tom voted.,Ο Τομ ψήφισε.
282,Tom walks.,Ο Τομ βαδίζει.
283,Tom works.,Ο Τομ δουλεύει.
284,Tom works.,Ο Τομ εργάζεται.
285,Tom's fat.,Ο Τομ είναι χοντρός.
286,Trust Tom.,Εμπιστέψου τον Τομ.
287,Trust Tom.,Εμπιστευτείτε τον Τομ.
288,Turn left.,Στρίψε αριστερά.
289,Wait here.,Περίμενε εδώ.
290,Wait here.,Περιμένετε εδώ.
291,We agreed.,Συμφωνήσαμε.
292,We failed.,Αποτύχαμε.
293,We forgot.,Ξεχάσαμε.
294,We talked.,Μιλήσαμε.
295,We'll see.,Θα δούμε.
296,We'll try.,Θα προσπαθήσουμε.
297,Well done!,Μπράβο!
298,What's up?,Τι τρέχει;
299,Who cares?,Ποιος νοιάζεται;
300,Who is he?,Ποιος είναι αυτός;
301,Who knows?,Ποιος ξέρει;
302,Who spoke?,Ποιος μίλησε;
303,Who spoke?,Ποια μίλησε;
304,Who'll go?,Ποιος θα πάει;
305,Who's Tom?,Ποιος είν' ο Τομ;
306,Who's Tom?,Ποιος είναι ο Τομ;
307,Who's she?,Ποια είν' αυτή;
308,Who's she?,Ποια είναι αυτή;
309,Wonderful!,Υπέροχα!
310,You idiot!,Ρε ηλίθιε!
311,You stink.,Βρομάς.
312,You stink.,Βρομάτε.
313,You tried.,Προσπάθησες.
314,You tried.,Προσπαθήσατε.
315,Am I wrong?,Κάνω λάθος;
316,Are you 18?,Είσαι 18;
317,Are you 18?,Είστε 18;
318,Are you OK?,Είσαι καλά;
319,Are you OK?,Καλά είσαι;
320,Can I help?,Μήπως μπορώ να βοηθήσω;
321,Come early.,Έλα νωρίς.
322,Come early.,Ελάτε νωρίς.
323,Come quick!,Έλα γρήγορα!
324,Come quick!,Ελάτε γρήγορα!
325,Cut it out!,Κόφ' το!
326,Definitely!,Οπωσδήποτε!
327,Follow him.,Ακολούθησέ τον.
328,Follow him.,Ακολουθήστε τον.
329,Forget Tom.,Ξέχνα τον Τομ.
330,Forget Tom.,Ξεχάστε τον Τομ.
331,Forget him.,Ξέχνα τον.
332,Forgive me.,Συγχώρεσέ με.
333,Forgive me.,Συγχωρέστε με.
334,He is poor.,Είναι φτωχός.
335,He is sick.,Είναι άρρωστος.
336,He's broke.,Είναι απένταρος.
337,He's broke.,Είναι άφραγκος.
338,He's lying.,Λέει ψέματα.
339,He's smart.,Είναι έξυπνος.
340,He's smart.,Αυτός είναι έξυπνος.
341,"Hello, Tom.","Γειάσου, Τομ."
342,I admit it.,Το παραδέχομαι.
343,I am a man.,Είμαι άνθρωπος.
344,I am ready.,Είμαι έτοιμος.
345,I am ready.,Είμαι έτοιμη.
346,I am short.,Είμαι κοντός.
347,I am short.,Είμαι κοντή.
348,I am smart.,Είμαι έξυπνος.
349,I can come.,Μπορώ να έρθω.
350,I can cook.,Μπορώ να μαγειρέψω.
351,I can stay.,Μπορώ να μείνω.
352,I chew gum.,Μασάω τσίκλα.
353,I disagree.,Διαφωνώ.
354,I found it.,Το βρήκα.
355,I hate Tom.,Μισώ τον Τομ.
356,I help him.,Τον βοηθάω.
357,I help him.,Τον βοηθώ.
358,I know her.,Την ξέρω.
359,I know him.,Τον ξέρω.
360,I know you.,Σε ξέρω.
361,I know you.,Σας ξέρω.
362,I like art.,Μ' αρέσει η τέχνη.
363,I like art.,Μου αρέσει η τέχνη.
364,I like tea.,Μου αρέσει το τσάι.
365,I like you.,Μου αρέσεις.
366,I like you.,Μ' αρέσεις.
367,I like you.,Μου αρέσετε.
368,I like you.,Μ' αρέσετε.
369,I love Tom.,Αγαπώ τον Τομ.
370,I love her.,Την αγαπώ.
371,I love her.,Την αγαπάω.
372,I love you.,Σ' αγαπώ.
373,I made two.,Έφτιαξα δύο.
374,I miss him.,Μου λείπει.
375,I miss you.,Μου λείπες.
376,I need you.,Σε χρειάζομαι.
377,I panicked.,Πανικοβλήθηκα.
378,I promised.,Υποσχέθηκα.
379,I ran home.,Έτρεξα σπίτι.
380,I remember.,Θυμάμαι.
381,I resigned.,Παραιτήθηκα.
382,I saw them.,Τους είδα.
383,I saw them.,Τις είδα.
384,I see them.,Τα βλέπω.
385,I see them.,Τους βλέπω.
386,I see them.,Τις βλέπω.
387,I survived.,Επέζησα.
388,I survived.,Επιβίωσα.
389,I threw up.,Ξέρασα.
390,I want Tom.,Θέλω τον Τομ.
391,I want Tom.,Τον Τομ θέλω.
392,I want you.,Σε θέλω.
393,I want you.,Σας θέλω.
394,I was busy.,Ήμουν απασχολημένος.
395,I was busy.,Ήμουν απασχολημένη.
396,I was fine.,Ήμουν μια χαρά.
397,I was sick.,Ήμουν άρρωστος.
398,I was sick.,Ήμουν άρρωστη.
399,I won't go.,Δε θα πάω.
400,I'll do it.,Θα το κάνω.
401,I'll leave.,Θα φύγω.
402,I'm a hero.,Είμαι ήρωας.
403,I'm coming.,Έρχομαι.
404,I'm eating.,Τρώω.
405,I'm greedy.,Είμαι άπληστος.
406,I'm greedy.,Είμαι άπληστη.
407,I'm in bed.,Είμαι στο κρεβάτι.
408,I'm lonely.,Νιώθω μοναξιά.
409,I'm thirty.,Είμαι τριάντα.
410,Ignore Tom.,Αγνόησε τον Τομ.
411,Ignore Tom.,Αγνοήστε τον Τομ.
412,Is Tom fat?,Είναι χοντρός ο Τομ;
413,Is Tom ill?,Ο Τομ είναι άρρωστος;
414,Is Tom ill?,Είναι άρρωστος ο Τομ;
415,Is he busy?,Είναι απασχολημένος;
416,Is he tall?,Είναι ψηλός;
417,Is it blue?,Είναι μπλε;
418,It happens.,Συμβαίνει.
419,It was big.,Ήταν μεγάλη.
420,It was big.,Ήταν μεγάλος.
421,It was big.,Ήταν μεγάλο.
422,It'll burn.,Θα καεί.
423,It'll work.,Θα δουλέψει.
424,It's Tom's.,Είναι του Τομ.
425,It's empty.,Είναι άδειο.
426,It's empty.,Είναι άδειος.
427,It's empty.,Είναι άδεια.
428,It's green.,Είναι πράσινο.
429,It's green.,Είναι πράσινος.
430,It's green.,Είναι πράσινη.
431,It's white.,Είναι άσπρο.
432,Keep quiet!,Κάντε ησυχία!
433,Keep quiet!,Κάνε ησυχία!
434,Keep quiet.,Κάνε ησυχία.
435,Keep quiet.,Κάντε ησυχία.
436,Let's play.,Ας παίξουμε.
437,Look at me.,Κοίτα με.
438,Love hurts.,Η αγάπη πονάει.
439,She smiled.,Χαμογέλασε.
440,Stay still.,Μείνετε ακίνητος.
441,Stay still.,Μείνετε ακίνητοι.
442,Stay still.,Μείνετε ακίνητες.
443,Stay still.,Μείνετε ακίνητη.
444,Stay still.,Μείνετε ακίνητα.
445,Stay still.,Μείνε ακίνητος.
446,Stay still.,Μείνε ακίνητη.
447,Stay still.,Μείνε ακίνητο.
448,Stay there.,Μείνε εδώ.
449,Stay there.,Μείνετε εδώ.
450,That hurts.,Αυτό πονάει.
451,That's all.,Αυτό είναι όλο.
452,They agree.,Συμφωνούν.
453,They tried.,Προσπάθησαν.
454,They voted.,Ψήφισαν.
455,Time flies.,Ο χρόνος τρέχει.
456,Tom agreed.,Ο Τομ συμφώνησε.
457,Tom agrees.,Ο Τομ συμφωνεί.
458,Tom danced.,Ο Τομ χόρεψε.
459,Tom dances.,Ο Τομ χορεύει.
460,Tom drinks.,Ο Τομ πίνει.
461,Tom drives.,Ο Τομ οδηγεί.
462,Tom failed.,Ο Τομ απέτυχε.
463,Tom forgot.,Ο Τομ ξέχασε.
464,Tom fought.,Ο Τομ αγωνίστηκε.
465,Tom helped.,Ο Τομ βοήθησε.
466,Tom jumped.,Ο Τομ πήδηξε.
467,Tom looked.,Ο Τομ κοίταξε.
468,Tom nodded.,Ο Τομ κούνησε το κεφάλι.
469,Tom obeyed.,Ο Τομ υπάκουσε.
470,Tom phoned.,Ο Τομ τηλεφώνησε.
471,Tom prayed.,Ο Τομ προσευχήθηκε.
472,Tom saw me.,Ο Τομ με είδε.
473,Tom saw me.,Με είδε ο Τομ.
474,Tom saw me.,Μ' είδε ο Τομ.
475,Tom shaved.,Ο Τομ ξυρίστηκε.
476,Tom sighed.,Ο Τομ αναστέναξε.
477,Tom smiled.,Ο Τομ χαμογέλασε.
478,Tom snores.,Ο Τομ ροχαλίζει.
479,Tom stayed.,Ο Τομ έμεινε.
480,Tom waited.,Ο Τομ περίμενε.
481,Tom walked.,Ο Τομ περπάτησε.
482,Tom worked.,Ο Τομ δούλεψε.
483,Tom worked.,Ο Τομ εργάστηκε.
484,Tom yawned.,Ο Τομ χασμουρήθηκε.
485,Tom'll cry.,Ο Τομ θα κλάψει.
486,Tom'll cry.,Θα κλάψει ο Τομ.
487,Tom'll die.,Ο Τομ θα πεθάνει.
488,Tom'll die.,Θα πεθάνει ο Τομ.
489,Tom'll pay.,Ο Τομ θα πληρώσει.
490,Tom'll pay.,Θα πληρώσει ο Τομ.
491,Tom's fast.,Ο Τομ είναι ταχύς.
492,Tom's fast.,Ο Τομ είναι γρήγορος.
493,Tom's free.,Ο Τομ είν' ελεύθερος.
494,Tom's free.,Ο Τομ είναι ελεύθερος.
495,Tom's here.,Ο Τομ είναι εδώ.
496,Tom's weak.,Ο Τομ είναι αδύναμος.
497,Tom's weak.,Ο Τομ είν' αδύναμος.
498,Turn right.,Στρίψε δεξιά.
499,Wait a bit.,Περίμενε λιγάκι.
500,We can try.,Μπορούμε να δοκιμάσουμε.
501,We laughed.,Γελάσαμε.
502,We'll cook.,Θα μαγειρέψουμε.
503,We'll fail.,Θ' αποτύχουμε.
504,We'll fail.,Θα αποτύχουμε.
505,We'll help.,Θα βοηθήσουμε.
506,We'll obey.,Θα υπακούσουμε.
507,We'll sing.,Θα τραγουδήσουμε.
508,We'll wait.,Θα περιμένουμε.
509,We'll walk.,Θα βαδίσουμε.
510,We'll walk.,Θα περπατήσουμε.
511,We'll work.,Θα δουλέψουμε.
512,We'll work.,Θα εργαστούμε.
513,We're rich.,Είμαστε πλούσιοι.
514,We're rich.,Είμαστε πλούσιες.
515,What is it?,Τι είναι;
516,What is it?,Τι είναι αυτό;
517,Who has it?,Ποιος το 'χει;
518,Who has it?,Ποιος το έχει;
519,Who has it?,Ποιος τον έχει;
520,Who has it?,Ποιος την έχει;
521,Who is Tom?,Ποιος είν' ο Τομ;
522,Who is Tom?,Ποιος είναι ο Τομ;
523,Who is she?,Ποια είν' αυτή;
524,Who is she?,Ποια είναι αυτή;
525,Who stayed?,Ποιος έμεινε;
526,Who's sick?,Ποιος είναι άρρωστος;
527,You missed.,Αστόχησες.
528,You missed.,Αστοχήσατε.
529,You'll see.,Θα δεις.
530,You'll see.,Θα δείτε.
531,You're shy.,Είσαι ντροπαλός.
532,You're shy.,Είσαι ντροπαλή.
533,You're shy.,Είστε ντροπαλοί.
534,You're shy.,Είστε ντροπαλές.
535,You're shy.,Είστε ντροπαλός.
536,You're shy.,Είστε ντροπαλή.
537,You've won!,Έχεις κερδίσει!
538,You've won!,Έχετε κερδίσει!
539,Are you mad?,Είσαι τρελή;
540,Are you new?,Είσαι καινούριος;
541,Are you new?,Είσαι καινούρια;
542,Are you new?,Είστε καινούριοι;
543,Are you new?,Είστε καινούριες;
544,Are you new?,Είστε καινούριος;
545,Are you new?,Είστε καινούρια;
546,Are you shy?,Είσαι ντροπαλός;
547,Are you shy?,Είσαι ντροπαλή;
548,Are you shy?,Είστε ντροπαλοί;
549,Are you shy?,Είστε ντροπαλές;
550,Are you shy?,Είστε ντροπαλός;
551,Are you shy?,Είστε ντροπαλή;
552,Can we talk?,Μπορούμε να μιλήσουμε;
553,Do you fish?,Ψαρεύεις;
554,Do you fish?,Ψαρεύετε;
555,Forgive Tom.,Συγχώρεσε τον Τομ.
556,Forgive Tom.,Συγχωρήστε τον Τομ.
557,Get dressed.,Ντύσου.
558,Get dressed.,Ντυθείτε.
559,Get serious!,Σοβαρέψου!
560,Get serious!,Σοβαρευτείτε!
561,He is alone.,Είναι μόνος.
562,He is drunk.,Είναι μεθυσμένος.
563,He is happy.,Είναι χαρούμενος.
564,He is happy.,Είναι ευτυχισμένος.
565,He is lying.,Λέει ψέματα.
566,He's strong.,Είναι δυνατός.
567,He's wasted.,Είναι μεθυσμένος.
568,He's wasted.,Είναι στουπί.
569,He's wasted.,Είναι πολύ μεθυσμένος.
570,How are you?,Πώς είστε;
571,How are you?,Πώς είσαι;
572,How was Tom?,Πώς ήταν ο Τομ;
573,I am a cook.,Είμαι μάγειρας.
574,I am a cook.,Είμαι μαγείρισσα.
575,I am taller.,Είμαι ψηλότερος.
576,I am taller.,Είμαι πιο ψηλός.
577,I bought it.,Τον αγόρασα.
578,I bought it.,Την αγόρασα.
579,I bought it.,Το αγόρασα.
580,I bought it.,Τ' αγόρασα.
581,I can't eat.,Δεν μπορώ να φάω.
582,I can't fly.,Δεν μπορώ να πετάξω.
583,I didn't go.,Δεν πήγα.
584,I feel cold.,Κρυώνω.
585,I forgot it.,Το ξέχασα.
586,I found you.,Σας βρήκα.
587,I found you.,Σε βρήκα.
588,I hate milk.,Μισώ το γάλα.
589,I have cash.,Έχω μετρητά.
590,I have wine.,Έχω κρασί.
591,I heard you.,Σ' άκουσα.
592,I heard you.,Σε άκουσα.
593,I heard you.,Σας άκουσα.
594,I know them.,Τους ξέρω.
595,I know them.,Τις ξέρω.
596,I know them.,Τα ξέρω.
597,I like beer.,Μου αρέσει η μπίρα.
598,I like beer.,Μ' αρέσει η μπίρα.
599,I like blue.,Μ' αρέσει το μπλε.
600,I like blue.,Μου αρέσει το μπλε.
601,I like cats.,Μου αρέσουν οι γάτες.
602,I like cats.,Μ' αρέσουν οι γάτες.
603,I like dogs.,Μ' αρέσουν τα σκυλιά.
604,I like fish.,Μ' αρέσει το ψάρι.
605,I like fish.,Μ' αρέσουν τα ψάρια.
606,I like fish.,Μου αρέσουν τα ψάρια.
607,I like fish.,Μου αρέσει το ψάρι.
608,I like jazz.,Μου αρέσει η τζαζ.
609,I like jazz.,Μ' αρέσει η τζαζ.
610,I like rice.,Μου αρέσει το ρύζι.
611,I like rice.,Μ' αρέσει το ρύζι.
612,I like rock.,Μου αρέσει η ροκ.
613,I like rock.,Μ' αρέσει η ροκ.
614,I like snow.,Μου αρέσει το χιόνι.
615,I like snow.,Μ' αρέσει το χιόνι.
616,I like them.,Μου αρέσουν.
617,I like them.,Μ' αρέσουν.
618,I live here.,Εδώ μένω.
619,I love beef.,Λατρεύω το βοδινό.
620,I love dogs.,Λατρεύω τα σκυλιά.
621,I love dogs.,Λατρεύω τους σκύλους.
622,I love fish.,Λατρεύω το ψάρι.
623,I love fish.,Λατρεύω τα ψάρια.
624,I love rock.,Λατρεύω το ροκ.
625,I love snow.,Λατρεύω το χιόνι.
626,I loved you.,Σ' αγάπησα.
627,I loved you.,Σας αγάπησα.
628,I loved you.,Σε αγάπησα.
629,I must hide.,Πρέπει να κρυφτώ.
630,I need help.,Χρειάζομαι βοήθεια.
631,I need this.,Το χρειάζομαι αυτό.
632,I often ski.,Κάνω συχνά σκι.
633,I saw a dog.,Είδα έναν σκύλο.
634,I saw a dog.,Είδα ένα σκυλί.
635,I should go.,Πρέπει να φύγω.
636,I surrender.,Παραδίνομαι.
637,I thank you.,Σας ευχαριστώ.
638,I thank you.,Εγώ σ' ευχαριστώ.
639,I thank you.,Εγώ σας ευχαριστώ.
640,I thank you.,Εγώ σε ευχαριστώ.
641,I thank you.,Σ' ευχαριστώ.
642,I trust Tom.,Εμπιστεύομαι τον Τομ.
643,I trust him.,Τον εμπιστεύομαι.
644,I trust you.,Σ' εμπιστεύομαι.
645,I trust you.,Σε εμπιστεύομαι.
646,I trust you.,Σας εμπιστεύομαι.
647,I want Mary.,Θέλω τη Μαίρη.
648,I want cash.,Θέλω μετρητά.
649,I want cash.,Μετρητά θέλω.
650,I want eggs.,Θέλω αυγά.
651,I want eggs.,Αυγά θέλω.
652,I want soup.,Θέλω σούπα.
653,I want soup.,Σούπα θέλω.
654,I was alone.,Ήμουν μόνος.
655,I was alone.,Ήμουν μόνη.
656,I was happy.,Ήμουν ευτυχισμένος.
657,I was happy.,Ήμουν ευτυχισμένη.
658,I was happy.,Ήμουν χαρούμενος.
659,I was happy.,Ήμουν χαρούμενη.
660,I was lucky.,Ήμουν τυχερός.
661,I was lucky.,Ήμουνα τυχερός.
662,I was lucky.,Ήμουνα τυχερή.
663,I was lucky.,Ήμουν τυχερή.
664,I was tired.,Ήμουνα κουρασμένος.
665,I was tired.,Ήμουν κουρασμένος.
666,I was tired.,Ήμουν κουρασμένη.
667,I was wrong.,Ήμουνα λάθος.
668,I went home.,Πήγα σπίτι.
669,I will come.,Θα έρθω.
670,I will help.,Θα βοηθήσω.
671,I will obey.,Θα υπακούσω.
672,I will stay.,Θα μείνω.
673,I will walk.,Θα βαδίσω.
674,I will walk.,Θα περπατήσω.
